"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","NATIONAL_AVG_SCORE_VAL","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2019-20","667","Gwinnett County","1019","Gwinnett School of Mathematics, Science and Technology","All Students","Composite",1670497,26811,"2785","86",20.6,20.8,22.5,29.8
"2019-20","755","Whitfield County","0275","Southeast Whitfield County High School","All Students","Mathematics",1670497,26810,"218","48",20.4,20.2,19.1,18.3
"2019-20","764","Buford City","0191","Buford High School","All Students","Mathematics",1670497,26810,"89","89",20.4,20.2,24,24
"2019-20","764","Buford City","0191","Buford High School","All Students","Writing Subscore",678906,5089,"14","14",6.4,6.8,7.4,7.4
"2019-20","766","Carrollton City","1050","Carrollton High School","All Students","Writing Subscore",678906,5089,"15","15",6.4,6.8,7.1,7.1
"2019-20","766","Carrollton City","1050","Carrollton High School","All Students","Composite",1670497,26811,"106","106",20.6,20.8,20.9,20.9
"2019-20","644","DeKalb County","5052","Chamblee Charter High School","All Students","Science",1670497,26810,"1337","94",20.6,20.8,19.9,24.1
"2019-20","644","DeKalb County","5052","Chamblee Charter High School","All Students","Reading",1670497,26810,"1337","94",21.2,21.6,20.9,27.3
"2019-20","761","Atlanta Public Schools","0406","School of Health Sciences and Research at Carver","All Students","English",1670497,26811,"923","11",19.7,20.2,18.6,16.1
"2019-20","761","Atlanta Public Schools","0406","School of Health Sciences and Research at Carver","All Students","Writing Subscore",678906,5089,"254","TFS",6.4,6.8,6.3,
"2019-20","721","Richmond County","1052","Butler High School","All Students","Science",1670497,26810,"316","20",20.6,20.8,17.5,16.2
"2019-20","721","Richmond County","1052","Butler High School","All Students","Reading",1670497,26810,"316","20",21.2,21.6,17.6,14.3
