School Year,School District Code,School District Name,School Code,School Name,Total High School Graduates,Number of High School Graduates Enrolled in Postsecondary Institution
2017,730,Talbot County,ALL,All Schools,30,23
2017,731,Taliaferro County,ALL,All Schools,TFS,TFS
2017,732,Tattnall County,ALL,All Schools,194,102
2017,733,Taylor County,ALL,All Schools,81,57
2017,734,Telfair County,ALL,All Schools,112,55
2017,735,Terrell County,ALL,All Schools,98,50
2017,736,Thomas County,ALL,All Schools,374,236
2017,737,Tift County,ALL,All Schools,411,286
2017,738,Toombs County,ALL,All Schools,170,88
2017,739,Towns County,ALL,All Schools,85,54
2017,740,Treutlen County,ALL,All Schools,55,27
2017,741,Troup County,ALL,All Schools,723,464
2017,742,Turner County,ALL,All Schools,88,54
2017,743,Twiggs County,ALL,All Schools,59,28
2017,744,Union County,ALL,All Schools,181,115
2017,745,Thomaston-Upson County,ALL,All Schools,289,160
2017,746,Walker County,ALL,All Schools,566,274
2017,747,Walton County,ALL,All Schools,878,586
2017,748,Ware County,ALL,All Schools,346,210
2017,749,Warren County,ALL,All Schools,29,23
2017,750,Washington County,ALL,All Schools,202,144
2017,751,Wayne County,ALL,All Schools,328,176
2017,752,Webster County,ALL,All Schools,23,16
2017,753,Wheeler County,ALL,All Schools,62,33
2017,754,White County,ALL,All Schools,251,169
2017,755,Whitfield County,ALL,All Schools,910,526
2017,756,Wilcox County,ALL,All Schools,88,53
2017,757,Wilkes County,ALL,All Schools,79,54
2017,758,Wilkinson County,ALL,All Schools,98,61
2017,759,Worth County,ALL,All Schools,204,116
2017,761,Atlanta Public Schools,ALL,All Schools,2379,1643
2017,763,Bremen City,ALL,All Schools,145,116
2017,764,Buford City,ALL,All Schools,269,218
2017,765,Calhoun City,ALL,All Schools,252,176
2017,766,Carrollton City,ALL,All Schools,323,229
2017,767,Cartersville City,ALL,All Schools,241,182
2017,769,Chickamauga City,ALL,All Schools,123,98
2017,771,Commerce City,ALL,All Schools,85,47
2017,772,Dalton Public Schools,ALL,All Schools,494,297
2017,773,Decatur City,ALL,All Schools,254,221
2017,774,Dublin City,ALL,All Schools,127,83
2017,776,Gainesville City,ALL,All Schools,396,225
2017,779,Jefferson City,ALL,All Schools,228,167
2017,781,Marietta City,ALL,All Schools,403,260
2017,7820108,State Charter Schools- Mountain Education Center School,ALL,All Schools,268,93
2017,7820119,State Charter Schools- Provost Academy Georgia,ALL,All Schools,188,56
2017,7820120,State Charter Schools- Georgia Cyber Academy,ALL,All Schools,635,344
2017,7820412,State Charter Schools- Georgia Connections Academy,ALL,All Schools,310,160
2017,7820613,State Charter Schools- Foothills Charter High School (Madison Campus),ALL,All Schools,112,31
2017,7830103,Commission Charter Schools- CCAT School,ALL,All Schools,20,13
2017,7830210,Commission Charter Schools- Pataula Charter Academy,ALL,All Schools,40,29
