,SCHOOL_DISTRCT_CD,TEST_CMPNT_TYP_NM,ACDMC_LVL,BEGIN_PCT,DEVELOPING_PCT,PROFICIENT_PCT,DISTINGUISHED_PCT
0,601,9th Grade Literature and Composition,9.4,19.73333333333333,36.63333333333333,35.225,8.41666666666667
1,601,Algebra I,9.64,29.439130434782594,43.40434782608696,23.039130434782606,4.126086956521739
2,601,American Literature and Composition,10.68421052631579,38.90555555555555,32.005555555555546,22.272222222222222,6.827777777777779
3,601,Biology,9.5625,28.259999999999994,23.393333333333338,38.00666666666666,10.34
4,601,Economics/Business/Free Enterprise,11.785714285714286,18.674999999999997,32.041666666666664,39.775000000000006,9.525
5,601,Geometry,10.5,29.081818181818175,38.20000000000001,29.79545454545454,2.9045454545454548
6,601,Physical Science,10.08,44.94583333333335,29.91249999999999,18.895833333333332,6.266666666666667
7,601,US History,10.722222222222221,29.958823529411763,33.57647058823529,29.647058823529413,6.811764705882353
8,602,9th Grade Literature and Composition,9.23076923076923,10.172727272727274,35.900000000000006,42.699999999999996,11.227272727272727
9,602,Algebra I,9.083333333333334,27.1,39.86363636363636,29.236363636363638,3.8272727272727276
10,602,American Literature and Composition,10.857142857142858,23.6,40.6090909090909,30.363636363636363,5.427272727272729
11,602,Analytic Geometry,10.333333333333334,24.614285714285717,49.05714285714286,21.72857142857143,4.607142857142857
12,602,Biology,10.571428571428571,23.605263157894736,27.07894736842106,33.373684210526314,15.952631578947361
13,602,Coordinate Algebra,9.142857142857142,13.883333333333335,66.98333333333333,19.200000000000003,0.0
14,602,Economics/Business/Free Enterprise,11.916666666666666,31.09090909090909,31.38181818181818,30.781818181818178,6.763636363636363
15,602,Physical Science,9.727272727272727,17.455000000000002,28.089999999999996,47.024999999999984,7.429999999999998
16,602,US History,10.857142857142858,27.072727272727267,37.43636363636363,30.036363636363635,5.4363636363636365
17,603,9th Grade Literature and Composition,8.782608695652174,15.185714285714287,26.414285714285718,47.7904761904762,10.585714285714285
18,603,Algebra I,9.652173913043478,29.476190476190474,52.21428571428572,15.952380952380949,2.3619047619047615
19,603,American Literature and Composition,10.5,15.434782608695658,33.78695652173913,45.27826086956523,5.478260869565218
20,603,Biology,11.285714285714286,34.24736842105263,24.97894736842105,33.484210526315785,7.289473684210525
21,603,Economics/Business/Free Enterprise,11.25,43.72,28.013333333333332,26.820000000000007,1.4466666666666663
22,603,Geometry,10.421052631578947,30.200000000000006,40.9,21.547058823529408,7.341176470588236
23,603,Physical Science,9.5,3.377777777777778,3.411111111111111,67.31111111111113,25.87777777777778
24,603,US History,10.31578947368421,42.47647058823529,32.9470588235294,21.123529411764714,3.4647058823529404
25,604,9th Grade Literature and Composition,9.333333333333334,25.0,27.862499999999997,47.1375,0.0
26,604,Algebra I,9.125,40.31428571428571,41.385714285714286,11.771428571428572,6.542857142857144
27,604,American Literature and Composition,11.5,,,,
28,604,Biology,10.25,47.828571428571436,34.78571428571429,17.32857142857143,0.0
29,604,Economics/Business/Free Enterprise,12.0,,,,
30,604,Geometry,10.25,43.628571428571426,44.7,11.614285714285714,0.0
31,604,Physical Science,12.0,,,,
32,604,US History,11.5,,,,
33,605,9th Grade Literature and Composition,9.571428571428571,25.422222222222224,39.661111111111126,31.122222222222224,3.8333333333333335
34,605,Algebra I,9.0,24.883333333333326,47.99166666666668,22.762500000000003,4.35
35,605,American Literature and Composition,10.76,20.874999999999996,43.90833333333333,33.79583333333332,1.4000000000000001
36,605,Biology,9.75,42.03333333333333,31.077777777777776,22.944444444444443,3.938888888888889
37,605,Economics/Business/Free Enterprise,11.208333333333334,24.612499999999994,37.33333333333334,25.637500000000017,12.437499999999995
38,605,Geometry,10.035714285714286,38.540740740740745,35.59629629629629,22.44074074074074,3.4370370370370376
39,605,Physical Science,10.147058823529411,22.448484848484835,37.33636363636363,33.466666666666676,6.766666666666669
40,605,US History,10.791666666666666,34.47826086956522,41.86521739130436,21.74782608695652,1.9217391304347822
41,606,9th Grade Literature and Composition,8.8,8.02222222222222,16.849999999999998,49.03888888888889,26.094444444444445
42,606,Algebra I,9.148148148148149,34.869230769230775,31.29615384615384,30.307692307692296,3.5346153846153845
43,606,American Literature and Composition,11.0,28.46363636363636,36.31818181818182,29.236363636363635,5.972727272727273
44,606,Biology,9.6,24.710526315789473,22.7,40.884210526315805,11.710526315789474
45,606,Economics/Business/Free Enterprise,11.75,24.849999999999998,21.85,40.93999999999999,12.41
46,606,Geometry,10.071428571428571,28.12592592592593,37.14814814814814,30.32592592592592,4.3962962962962955
47,606,Physical Science,10.545454545454545,26.294999999999998,36.989999999999995,31.840000000000003,4.879999999999999
48,606,US History,10.857142857142858,17.44545454545454,25.509090909090904,40.84545454545455,16.163636363636364
49,607,9th Grade Literature and Composition,9.5,27.71969696969697,29.37878787878788,34.878787878787875,8.037878787878789
50,607,Algebra I,9.023255813953488,27.110569105691052,33.13414634146342,26.508943089430886,13.247967479674793
51,607,American Literature and Composition,10.771739130434783,29.597752808988766,35.841573033707874,28.97977528089887,5.586516853932583
52,607,Biology,10.240601503759398,38.820300751879714,25.18796992481204,28.893233082706754,7.096992481203006
53,607,Coordinate Algebra,10.0,,,,
54,607,Economics/Business/Free Enterprise,10.990196078431373,30.5950495049505,27.734653465346543,35.324752475247536,6.3544554455445565
55,607,Geometry,10.150442477876107,25.49823008849557,35.16548672566371,27.36460176991152,11.982300884955752
56,607,Physical Science,8.828947368421053,20.00735294117647,19.488235294117647,39.38676470588238,21.110294117647054
